Modelo,SMOTE,Baseline (Teste),Tuning (Treino CV),Tuning (Teste)
DecisionTree,Não,0.7941224347691112,0.91137794144106,0.9106828002122408
DecisionTree,Sim,0.7923083928066559,0.908520444074046,0.90789645787216
KNN,Não,0.7686514236192453,0.8289392016709037,0.8289799345486959
KNN,Sim,0.7663410655435899,0.8121236921739093,0.8148853583300976
LogisticRegression,Não,0.8654495559896339,0.7717980452833051,0.6956784166063952
LogisticRegression,Sim,0.8656584824517387,0.8657405984690925,0.8656845690152515
RandomForest,Não,0.93051057155356,0.9321227897368384,0.9321898567024256
RandomForest,Sim,0.9294463341744491,0.9305267359940884,0.930802706733192
SVM,Não,0.8638377125812665,0.8640071018572264,0.8638470167520037
SVM,Sim,0.8640233779243571,0.8640817237777805,0.864029786049092
XGBoost,Não,0.930321012053011,0.93034261577425,0.9303725940654846
XGBoost,Sim,0.926828804875351,0.9261756471037148,0.9259555272599492
